Date,BAC,National,Diamond,Spencer,Pearce
8/5/2014,15.6659375,17.3140625,18.65989583,19.13229167,18.81535668
8/6/2014,15.86989583,17.51729167,18.7790625,19.1653125,18.99080807
8/7/2014,15.32260417,17.4625,18.795,19.1478125,18.79542612
8/8/2014,15.18270833,17.13739583,18.67427083,18.99447917,18.60018306
8/9/2014,15.42645833,16.79208333,18.56239583,19.08375,18.52903723
8/10/2014,15.43645833,17.055,18.30552083,18.77979167,18.53438445
8/11/2014,15.4515625,17.06427083,18.52354167,18.85364583,18.61518307
8/12/2014,15.34895833,16.87770833,18.46625,19.02010417,18.49969695
8/13/2014,15.405625,16.79739583,18.03604167,18.49104167,18.34841223
8/14/2014,15.37,16.71708333,18.22604167,18.50239583,18.37309973
8/15/2014,15.28416667,16.91302083,18.24864583,18.66583333,18.41733584
8/16/2014,15.876875,17.01572917,18.39770833,18.76,18.6988289
8/17/2014,15.92239583,17.43729167,18.52270833,18.95177083,18.89619001
8/18/2014,15.80302083,17.4978125,18.72635417,18.86864583,18.9444539
8/19/2014,15.1473913,17.45572917,18.75552083,19.20135417,18.72160517
8/20/2014,14.98552083,16.9046875,18.5146875,18.9409375,18.40369001
8/21/2014,14.86833333,16.58489583,18.07697917,18.57177083,18.11212751
8/22/2014,15.08375,16.49770833,17.6915625,18.020625,18.02639834
8/23/2014,15.19885417,16.45708333,17.88239583,18.23583333,18.11483584
8/24/2014,15.19552083,16.78260417,17.80947917,18.19791667,18.19792612
8/25/2014,15.50885417,16.75593407,18.14541667,18.44885417,18.4054597
8/26/2014,15.21354167,16.8134375,18.06677083,18.47510417,18.29997473
8/27/2014,15.063125,16.62072917,17.92827957,18.30333333,18.13943598
8/28/2014,15.12302083,16.51927083,17.86927083,18.28526316,18.10591223
8/29/2014,15.37760417,16.67927083,17.80916667,18.12072917,18.22407196
8/30/2014,15.69875,16.7553125,17.93854167,18.2546875,18.39959279
8/31/2014,15.7565625,17.01458333,17.94583333,18.18677083,18.50771779
9/1/2014,15.88364583,17.328125,18.2840625,18.5171875,18.76733584
9/2/2014,16.19822917,17.5309375,18.75239583,19.01572917,19.09591223
9/3/2014,16.31510417,17.75041667,19.01395833,19.2290625,19.29521779
9/4/2014,16.000625,17.896875,18.97354167,19.35010417,19.22573862
9/5/2014,15.88583333,17.61739583,19.20291667,19.45010417,19.17077334
9/6/2014,16.06947917,17.584375,19.19166667,19.67958333,19.21723168
9/7/2014,16.00885417,17.71833333,19.0365625,19.48375,19.18997473
9/8/2014,16.31104167,17.73177083,18.78479167,19.01958333,19.21125946
9/9/2014,16.3509375,17.92635417,19.28177083,19.51791667,19.4550789
9/10/2014,16.1134375,17.87166667,19.25458333,19.6465625,19.34862057
9/11/2014,15.85833333,17.74020833,19.2278125,19.6153125,19.21084279
9/12/2014,16.05989583,17.41510417,19.0128125,19.40635417,19.09799557
9/13/2014,15.79270833,17.3290625,18.76197917,19.22875,18.8966414
9/14/2014,16.05895833,17.54875,18.57552083,18.96854167,18.99646779
9/15/2014,16.3090625,17.3975,18.80885417,19.06395833,19.10719696
9/16/2014,16.48291667,17.84020833,18.93854167,19.44291667,19.35594696
9/17/2014,16.79135417,18.0865625,19.22729167,19.45895833,19.63712751
9/18/2014,16.35458333,18.26604167,19.32291667,19.68135417,19.58323862
9/19/2014,16.52375,18.36020833,19.58375,19.80635417,19.75796084
9/20/2014,16.20260417,18.09447917,19.686875,20.06395833,19.59671085
9/21/2014,16.10041667,17.93416667,19.25270833,19.74229167,19.36448862
9/22/2014,16.0028125,17.68395833,19.3190625,19.64489583,19.27066918
9/23/2014,16.11864583,17.511875,18.95802083,19.39958333,19.13157195
9/24/2014,15.991875,17.39645833,18.62083333,19.07583333,18.93844695
9/25/2014,15.84895833,17.31927083,18.5,18.7971875,18.82480112
9/26/2014,16.370625,17.24947917,18.5328125,18.85322917,18.98636362
9/27/2014,16.20364583,17.39645833,18.28010417,18.67072917,18.89546084
9/28/2014,15.74697917,17.26677083,17.9065625,18.103125,18.57549557
9/29/2014,15.294375,16.84510417,17.96416667,18.1653125,18.30327335
9/30/2014,15.31447917,16.57020833,17.63916667,17.98354167,18.11000946
10/1/2014,15.33291667,16.22270833,17.339375,17.62416667,17.9003914
10/2/2014,15.04114583,15.99177083,16.70572917,17.12916667,17.51494001
10/3/2014,14.99145833,15.87072917,16.55875,16.74708333,17.40903723
10/4/2014,14.59354167,15.94791667,16.58604167,16.7571875,17.31122474
10/5/2014,14.89041667,15.74385417,16.58229167,16.7478125,17.34091224
10/6/2014,15.67875,15.58510417,16.62395833,16.91416667,17.56466223
10/7/2014,15.65697917,15.99489583,16.35541667,16.69739583,17.60448862
10/8/2014,15.43302083,16.60322917,16.50364583,16.56458333,17.78202334
10/9/2014,15.29770833,16.42927083,17.20864583,17.12458333,17.91393306
10/10/2014,15.29552083,16.36854167,17.385,17.64895833,17.95174557
10/11/2014,15.33135417,16.3596875,17.27677083,17.551875,17.92466223
10/12/2014,15.34333333,16.18479167,17.06125,17.31635417,17.7985164
10/13/2014,14.98052083,15.87020833,16.59354167,16.95520833,17.41681501
10/14/2014,14.56729167,15.76739583,16.3590625,16.55791667,17.1666414
10/15/2014,14.31729167,15.62770833,16.35802083,16.55833333,17.03639834
10/16/2014,14.66083333,15.24958333,16.2946875,16.51354167,17.00375945
10/17/2014,14.83072917,15.19625,15.86625,16.21395833,16.89980112
10/18/2014,15.194375,15.41875,15.621875,15.7234375,17.01372473
10/19/2014,15.24364583,15.64708333,16.02583333,16.0965625,17.24091223
10/20/2014,15.19729167,16.11,16.3021875,16.4059375,17.47188446
10/21/2014,15.13,16.05114583,16.63375,16.6865625,17.54035668
10/22/2014,15.1815625,16.09854167,16.85958333,17.08145833,17.64862057
10/23/2014,15.30989362,15.85072917,16.63635417,16.85791667,17.53438372
10/24/2014,15.15729167,15.918125,16.4525,16.6984375,17.44469696
10/25/2014,14.8746875,15.9915625,16.45229167,16.58416667,17.37490529
10/26/2014,14.9240625,15.8903125,16.65989583,16.761875,17.42681501
10/27/2014,14.89083333,15.62291667,16.51385417,16.76375,17.27792612
10/28/2014,14.80854167,15.455,16.15791667,16.38729167,17.07587751
10/29/2014,14.58416667,15.3184375,15.80157895,16.01833333,16.83678577
10/30/2014,14.14052083,15.22677083,15.72427083,15.88197917,16.6325789
10/31/2014,14.30010417,15.0403125,15.744375,15.85822917,16.63032196
11/1/2014,14.8275,14.88416667,15.64697917,15.85729167,16.72160668
11/2/2014,14.4053125,14.9365625,15.13864583,15.304375,16.42889834
11/3/2014,14.16291667,14.83177083,14.804375,14.935,16.20174557
11/4/2014,13.83875,14.18791667,14.70677083,14.715,15.84653723
11/5/2014,13.34083333,14.05041667,14.44229167,14.57802083,15.54657196
11/6/2014,13.25572917,13.90739583,14.18041667,14.28104167,15.38323862
11/7/2014,13.62385417,13.6,14.29614583,14.3171875,15.44205807
11/8/2014,13.91229167,13.6046875,13.99927083,14.22385417,15.44080807
11/9/2014,14.2121875,13.9575,13.9246875,14.05697917,15.6335164
11/10/2014,14.34631579,14.2290625,14.148125,14.08322917,15.84322583
11/11/2014,14.4434375,14.48583333,14.4075,14.39197917,16.04764834
11/12/2014,12.58052083,14.6109375,14.8878125,14.84520833,15.62848168
11/13/2014,12.40614583,13.1453125,14.39333333,14.83958333,14.91698862
11/14/2014,12.45145833,13.02697917,13.49177083,13.64010417,14.59212751
11/15/2014,12.85635417,13.07739583,13.3484375,13.45947917,14.69612057
11/16/2014,12.709375,13.00395833,13.15458333,13.18114583,14.55803029
11/17/2014,12.7784375,12.52416667,12.59020833,12.68260417,14.23299557
11/18/2014,12.9975,12.12043011,12.3834375,12.38697917,14.10251394
11/19/2014,12.25135417,12.39770833,12.0534375,12.18708333,13.83622473
11/20/2014,12.70333333,12.76104167,12.1646875,12.03979167,14.1450789
11/21/2014,13.45333333,12.38989583,12.87041667,12.55708333,14.50660668
11/22/2014,13.42979167,12.76541667,12.5896875,12.80322917,14.53035668
11/23/2014,13.21864583,13.21145833,12.49770833,12.41697917,14.57799556
11/24/2014,12.8565625,12.82572917,12.62239583,12.4540625,14.37028723
11/25/2014,12.65760417,12.45458333,12.48947917,12.499375,14.13594696
11/26/2014,12.3253125,12.33552083,12.21052083,12.25291667,13.89250945
11/27/2014,12.34958333,12.343125,12.23760417,12.21395833,13.91216223
11/28/2014,12.6953125,12.19229167,12.254375,12.215,13.98271779
11/29/2014,12.85854167,12.22375,12.14604167,12.19479167,14.01150251
11/30/2014,12.73010417,12.6021875,12.19583333,12.20395833,14.11143307
12/1/2014,12.6940625,12.83854167,12.49020833,12.36916667,14.2763289
12/2/2014,13.1965625,12.8815625,12.8196875,12.75333333,14.56799557
12/3/2014,13.2825,13.36885417,13.18427083,13.1446875,14.88059973
12/4/2014,13.41260417,13.81020833,13.73510417,13.61385417,15.25469696
12/5/2014,13.63333333,13.83302083,14.1425,14.15854167,15.47167612
12/6/2014,13.50583333,14.0359375,14.15666667,14.23427083,15.50153723
12/7/2014,13.50135417,13.87020833,14.17166667,14.18135417,15.44980112
12/8/2014,12.92614583,13.76260417,14.00635417,14.15229167,15.16709279
12/9/2014,12.886875,13.39458333,13.84989583,13.87614583,14.97917612
12/10/2014,12.7378125,13.05958333,13.48354167,13.72302083,14.6957039
12/11/2014,12.73427083,13.06447917,13.19947917,13.26177083,14.60146779
12/12/2014,12.66927083,12.99322917,13.2346875,13.29479167,14.56778723
12/13/2014,12.8515625,12.98625,13.161875,13.19822917,14.6019539
12/14/2014,12.7765625,12.9378125,13.02635417,13.03458333,14.51563446
12/15/2014,12.45385417,12.79552083,12.76916667,12.809375,14.27490529
12/16/2014,12.03135417,12.64635417,12.76291667,12.76947917,14.0822664
12/17/2014,11.76947917,12.42708333,12.78916667,12.798125,13.93063446
12/18/2014,11.96708333,12.17708333,12.67833333,12.76510417,13.87622473
12/19/2014,12.05583333,12.0471875,12.27427083,12.43427083,13.72782195
12/20/2014,12.09739583,12.1675,12.09125,12.08520833,13.72077334
12/21/2014,11.84677083,12.25104167,12.20354167,12.176875,13.70250946
12/22/2014,11.69625,12.1265625,12.2778125,12.22083333,13.63559973
12/23/2014,11.59885417,11.84041667,12.135,12.22614583,13.46014835
12/24/2014,11.4371875,11.64229167,11.66635417,11.7709375,13.18400251
12/25/2014,11.1234375,11.50260417,11.49864583,11.47947917,12.9769539
12/26/2014,10.751875,11.06708333,11.165625,11.16083333,12.59691918
12/27/2014,10.3528125,10.50833333,10.66541667,10.736875,12.11091223
12/28/2014,10.16979167,10.26854167,10.20958333,10.26114583,11.81803029
12/29/2014,10.03895833,10.04041667,10.04479167,10.01229167,11.64344696
12/30/2014,10.25260417,9.823958333,9.802083333,9.788229167,11.56160668
12/31/2014,10.04494737,9.927395833,9.449375,9.515729167,11.40929747
1/1/2015,10.00708333,9.955520833,9.607604167,9.424375,11.45879418
1/2/2015,10.22895833,9.6215625,9.585833333,9.531458333,11.41417612
1/3/2015,10.31052083,9.731041667,9.356145833,9.330729167,11.40129418
1/4/2015,10.22333333,10.06197917,9.541145833,9.4103125,11.54421084
1/5/2015,10.1434375,10.24020833,9.969166667,9.812916667,11.71966223
1/6/2015,9.885729167,10.20395833,10.1803125,10.0828125,11.69205806
1/7/2015,9.963229167,10.08083333,10.260625,10.23760417,11.70362056
1/8/2015,10.221875,10.11541667,10.25052083,10.33177083,11.79799557
1/9/2015,10.19760417,10.34895833,10.28239583,10.275,11.87837751
1/10/2015,10.11791667,10.48916667,10.52833333,10.50114583,11.98053029
1/11/2015,10.356875,10.51989583,10.81958333,10.8521875,12.16750945
1/12/2015,10.55041667,10.82270833,10.9646875,11.01604167,12.3813289
1/13/2015,10.6484375,11.02,11.17895833,11.1575,12.55119001
1/14/2015,10.6021875,10.99583333,11.1575,11.15447917,12.52056501
1/15/2015,10.47770833,10.89895833,11.09621053,11.16302083,12.42635046
1/16/2015,10.2184375,10.7746875,10.97458333,11.04010417,12.25796084
