Date,BAC,National,Diamond,GPP_prediction
6/1/2018,6.685250611,4.95969967,1.645793316,2.38255051
6/2/2018,5.435008638,90.11056575,1.888900485,30.43046094
6/3/2018,3.615046695,2.702174007,2.191894896,0.78867451
6/4/2018,3.652184649,3.822498669,2.494889307,1.275493519
6/5/2018,30.1994729,6.08839006,2.756656205,10.96714237
6/6/2018,6.210812602,5.743850889,2.816048703,2.875873376
6/7/2018,7.248951175,3.456979631,2.8754412,2.479426646
6/8/2018,6.758588761,30.18401193,2.351120844,11.05020982
6/9/2018,60.13478562,4.728580405,0.394555041,19.704943
6/10/2018,4.21059957,3.810035523,1.816304632,1.231282553
6/11/2018,3.893183917,5.959974739,2.440114612,2.0500604
6/12/2018,4.444713874,6.786645258,30.12314439,11.73713715
6/13/2018,7.880009511,6.090574377,16.7012154,8.17623574
6/14/2018,6.749250225,3.586752705,3.279286403,2.490732422
6/15/2018,6.725926773,2.942037967,2.670712335,2.065195003
6/16/2018,5.750521595,20.10148804,2.062138267,7.257018612
6/17/2018,4.468244315,4.253789753,1.453564199,1.344168733
6/18/2018,4.320007043,5.456866098,2.860164671,2.164648582
6/19/2018,6.535542965,6.732786298,30.16140593,12.42888104
6/20/2018,80.1441305,5.516173433,20.95204592,33.4897526
6/21/2018,8.046529054,50.15017385,11.74268591,21.26543225
6/22/2018,80.12299859,40.18154102,2.533325896,38.89825781
6/23/2018,7.563306933,40.19112188,2.244458422,14.61859839
6/24/2018,5.536019913,4.598125592,2.528676874,2.173243437
6/25/2018,4.385086441,5.870475487,2.812895325,2.308455062
6/26/2018,6.038262771,6.785881713,3.086580768,3.255877728
6/27/2018,7.6914391,6.8380577,2.903642373,3.763349035
6/28/2018,7.419574881,5.34683769,2.720703978,3.114674827
6/29/2018,7.497241649,3.423971583,2.291003283,2.356374816
6/30/2018,7.77867744,3.205862715,1.975750807,2.272399632
7/1/2018,4.412676081,4.067326648,2.279512111,1.538807591
7/2/2018,3.251149364,50.17087446,2.583273414,16.62073506
7/3/2018,5.367054963,8.490464258,2.774234641,3.496220598
7/4/2018,70.10851964,3.802655157,1.289381021,23.01915458
7/5/2018,3.467831621,2.447528646,10.13000695,3.300758383
7/6/2018,3.837911137,3.529702671,5.423578769,2.216033503
7/7/2018,6.961598209,2.633571395,0.717150587,1.389742708
7/8/2018,3.316594486,1.762270156,0.825009904,0
7/9/2018,4.042720952,30.15927977,2.779365138,10.2794246
7/10/2018,3.391416983,4.56375427,1.338992507,1.050357231
7/11/2018,6.32711791,10.38884409,4.675731847,5.08286726
7/12/2018,5.964297264,30.12170305,8.012471186,12.65179314
7/13/2018,5.601476617,NA,7.464780036,4.428454569
7/14/2018,7.655606087,NA,6.917088886,5.181673729
7/15/2018,4.663901932,NA,6.369397736,3.411976076
7/16/2018,1.672197776,1.815811728,5.821706586,1.055541341
7/17/2018,50.13267949,3.6336248,5.274015436,17.63240922
7/18/2018,6.469265034,NA,4.726324286,3.493120902
7/19/2018,9.012489316,19.0879571,4.178633136,8.711995828
7/20/2018,9.001198995,7.2156066,3.630941986,4.568218505
7/21/2018,60.1984269,3.380120038,3.083250836,20.1729019
7/22/2018,56.84927045,NA,2.535559686,27.58774131
7/23/2018,53.50011401,1.853552837,1.686046465,16.96554042
7/24/2018,50.15095756,0.295371635,0.836533243,15.04659012
7/25/2018,5.20168232,NA,0.539240791,0.765787798
7/26/2018,4.868600982,NA,0.766522183,0.712887825
7/27/2018,5.500467421,NA,0.764841886,1.027980896
7/28/2018,3.74359909,NA,0.76316159,0.148706582
7/29/2018,3.601866057,0.233698908,0.761481293,0
7/30/2018,3.460133023,0.368354469,0.724789599,0
7/31/2018,3.31839999,0.713952554,0.688097905,0
8/1/2018,4.374652669,NA,10.18139099,5.173348072
8/2/2018,4.518328155,NA,0.464649562,0.386815101
8/3/2018,5.658047253,NA,1.274351529,1.361525633
8/4/2018,5.096839683,NA,3.487375687,2.187433927
8/5/2018,0.497095075,NA,5.700399845,0.994073702
8/6/2018,1.853972779,NA,7.913424002,2.779024633
8/7/2018,3.210850482,NA,10.12644816,4.563975563
8/8/2018,5.960232494,NA,5.895162009,3.823023494
8/9/2018,5.548729267,NA,1.663875857,1.501628804
8/10/2018,80.16524525,NA,3.083353641,39.51962569
8/11/2018,5.650790934,NA,4.502831425,2.972137422
8/12/2018,1.498116711,NA,5.922309209,1.605539202
8/13/2018,2.704252892,10.16462582,7.341786992,4.689191212
8/14/2018,3.910389073,1.964459735,8.761264776,2.831007172
8/15/2018,4.964245039,1.030231488,10.18074256,3.34404234
8/16/2018,5.041247812,NA,0.853174843,0.84253757
8/17/2018,50.18529906,NA,0.80623456,23.39109305
8/18/2018,11.75580238,NA,0.759294277,4.152874571
8/19/2018,0.990113015,0.731666624,10.12252863,1.900405401
8/20/2018,2.293066094,NA,5.568919533,1.826319056
8/21/2018,3.596019172,4.059592742,1.015310435,0.842610094
8/22/2018,4.898972251,NA,2.695584804,1.69260477
8/23/2018,3.610634627,10.23192535,4.375859172,4.025109027
8/24/2018,3.536730179,2.605148061,6.056133541,2.018306571
8/25/2018,2.871379344,NA,1.825918362,0.243975095
8/26/2018,2.206028508,NA,0.219402402,0
8/27/2018,1.540677673,NA,0.504095484,0
8/28/2018,40.13688322,1.848182853,0.788788566,12.21025419
8/29/2018,6.625123574,1.913040379,1.073481648,1.156184511
8/30/2018,7.037439704,0.94469924,1.35817473,1.065740536
8/31/2018,5.36641202,NA,1.672704166,1.414884335
9/1/2018,60.12217878,NA,0.742807141,28.3278192
9/2/2018,4.726113793,NA,0.671138749,0.593952513
9/3/2018,3.069440291,40.12592773,0.627536943,12.55993763
9/4/2018,1.412766788,1.67772202,0.583935137,0
9/5/2018,2.03459475,2.052554681,1.652539526,0
9/6/2018,2.601212529,NA,2.721143914,0.556504464
9/7/2018,1.273164982,NA,1.639771908,0
9/8/2018,1.024389974,NA,0.558399901,0
9/9/2018,0.581615807,0.759391189,0.745524216,0
9/10/2018,0.491012412,2.20724524,0.808099166,0
9/11/2018,0.657671587,NA,0.734879362,0
9/12/2018,0.976524564,NA,0.661659558,0
9/13/2018,0.699611187,0.330650918,0.689180092,0
9/14/2018,1.006462091,1.038496138,0.723564222,0
9/15/2018,1.432183665,0.619279528,1.096339355,0
